Comment,Designator,Quantity,LCSC Part #

"47u","C1, C3, C6, C7, C10, C11","6",""
"none","C2","1",""
"100n","C4, C8, C12, C16, C17, C25, C26, C28, C29, C30, C31, C32, C34, C36, C37, C43, C44, C45, C46, C54, C55, C58, C61, C64, C65, C67, C68, C69, C72, C73, C74, C78, C83, C84, C85, C86, C87, C89, C91, C92, C93, C94, C96, C98, C100, C101, C103, C105, C106, C108, C110, C111, C115, C116, C120, C121","56","C14663"
"820u","C5, C9, C13","3",""
"10u","C14, C20, C23, C33, C79, C80, C81, C88, C90, C95, C97, C99, C102, C104, C109, C119, C124","17","C19702"
"22u","C15, C21, C53, C112, C113, C114","6","C59461"
"100u","C18, C19, C24, C27, C35, C38, C47, C48, C62, C117, C118, C122, C123","13",""
"10u/16V","C22","1",""
"1n","C39, C42, C49, C52, C107","5",""
"3n3","C40, C41, C50, C51","4",""
"100p","C56, C57, C59, C60","4","C1546"
"3.3u","C63","1",""
"33u","C66","1",""
"18p","C70, C71, C75, C76, C77, C82","6","C1679"
"ZHCS400","D1, D2, D3, D4","4",""
"GREEN_ST","D5","1",""
"RED_ERR","D6","1",""
"1N4148W","D7","1","C81598"
"BLM18EG391TN1D","FB1, FB2","2",""
"CUI SJ1-3515N","J1","1",""
"3M 923345-03-C","J2, J3","2",""
"USB B","J4","1",""
"1x04","J5","1",""
"LPS6235-333MRB","L1","1",""
"LPS6235-563MR","L2, L3","2",""
"220n","L4, L5","2",""
"LPS3314-472MR","L6","1",""
"BC847","Q1, Q2","2",""
"BC807","Q3","1",""
"49k9","R1","1",""
"22","R2, R3, R4, R5, R29, R30","6","C23345"
"10k","R6, R28, R32, R33, R34, R41, R44","7","C25804"
"820 0.1%","R7, R8, R15, R18, R20, R21, R24, R26","8",""
"1k5 0.1%","R9, R16, R22, R25","4",""
"1k 0.1%","R10, R11, R13, R14","4",""
"50 0.1%","R12, R23","2",""
"15 0.1%","R17, R19","2",""
"1M","R27, R31, R39","3","C22935"
"1k","R35, R36, R42, R43","4","C21190"
"47k","R37","1","C25819"
"100k","R38","1","C25803"
"33k2","R40","1",""
"91k","R45, R46","2","C23265"
"Fujitsu FTR-B3CA012Z","RL1","1",""
"Keystone Electronics 5001","TP2, TP3, TP4, TP5","4",""
"DA2304","TR1","1",""
"SN6505B","U1","1",""
"LP5907-3.3","U2, U5","2",""
"LT3042","U3, U6","2",""
"MCP1702T-5","U4","1",""
"ACPL-217-500E","U7","1",""
"SN74LV1T34","U8, U11","2",""
"ADUM151N","U9, U10","2",""
"OPA1612","U12","1",""
"TPA6120A2RGYT","U13","1",""
"CS4398","U14","1",""
"NC7SZU04","U15, U16, U18, U19, U20","5",""
"NC7SZ32P5X","U17","1",""
"MIMXRT1011DAE5A","U21","1",""
"AT25SF081B","U22","1",""
"PRTR5V0U2X,215","U23","1",""
"MCP120T-315I","U24","1",""
"LT3094EMSE","U25","1",""
"LT3045IMSE","U26","1",""
"22.5792 Mhz","X1","1",""
"24.576 Mhz","X2","1",""
"24.000Mhz","X3","1",""
